答案	模型預測	內文
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	所以我克服恐懼去挑戰潛水、衝浪、跳傘	0.4763641059398651 0.4776046574115753 0.6197539567947388 0.5555856227874756 0.4272242486476898
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	這表示我會做好規劃而行動 不容易衝動	0.4812425374984741 0.473167359828949 0.598721444606781 0.5598849058151245 0.4439704716205597
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	這表示我願意學習跟面對自己的不完美	0.4735916554927826 0.4684552848339081 0.6071699857711792 0.5750946998596191 0.43360063433647156
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	這表示我不會佔據別人的功勞並真心祝福他人獲得成功	0.4773213267326355 0.454487681388855 0.6148369908332825 0.5554467439651489 0.4309431314468384
[0, 0, 0, 0, 1]	[1, 0, 1, 1, 0]	這表示我會鼓勵我自己勇敢與堅強	0.5027862787246704 0.4736005961894989 0.611907958984375 0.5663546919822693 0.4402739405632019
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	藉由察覺及接受對方的不一樣 剛好可以去了解關於人世間 更多面向的存在 豐富自己在地球上更多的體驗。	0.48411405086517334 0.4601292014122009 0.6276749968528748 0.5810859799385071 0.4228558838367462
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	藉由發現對方與自己的不一樣 也剛好可以檢視自己內在的信念與標準 是否真的依然值得繼續帶在身上或是該再進化了呢?	0.48109906911849976 0.4740467369556427 0.6161759495735168 0.5840157866477966 0.42831799387931824
[0, 0, 0, 1, 0]	[0, 0, 1, 1, 0]	藉由看對方不順眼 去覺察自己是否也具有類似的特質 其實自己也看自己不順眼。	0.48882007598876953 0.4776507616043091 0.606334388256073 0.5775089263916016 0.42449480295181274
[0, 0, 0, 0, 1]	[1, 0, 1, 1, 0]	不讓壞情緒造成更大傷害	0.5065857172012329 0.45989349484443665 0.6216322779655457 0.5740964412689209 0.4504627287387848
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	好好沈澱思考後 再闡述自己的情況	0.48712489008903503 0.46775001287460327 0.6109563708305359 0.5722901225090027 0.4224510192871094
[0, 0, 0, 0, 1]	[0, 0, 1, 1, 0]	試著用第三者的角度去觀察自己	0.47663065791130066 0.46018633246421814 0.611731231212616 0.5748869776725769 0.4338197708129883
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	這表示我可以適時適所善用能量	0.47670891880989075 0.452530175447464 0.6227596998214722 0.5692167282104492 0.43464523553848267
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	這表示我可以在人海中找到契合的人	0.47301965951919556 0.4615531265735626 0.6204093098640442 0.574277937412262 0.4375569522380829
[1, 0, 0, 0, 0]	[0, 0, 1, 1, 0]	這表示我的靈魂有趨吉避凶的雷達	0.4874834418296814 0.47414523363113403 0.6116299033164978 0.574272096157074 0.41790658235549927
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	這表示你總是能將金錢化為喜歡的模樣 用來體驗各式各樣不同的經驗	0.4808046221733093 0.4718411862850189 0.61670982837677 0.5574002265930176 0.4337158799171448
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	這表示你會去欣賞這世界上美好的事物 懂得把握當下 沒有匱乏感	0.4698038399219513 0.4778735041618347 0.606513500213623 0.5595575571060181 0.4267054796218872
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	這表示你需要的金錢數量 總是會出現。	0.4795767068862915 0.46471965312957764 0.6068206429481506 0.5647758841514587 0.44563421607017517
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	這表示你重視學習 重視成長 願意用金錢去交換。	0.4875808358192444 0.4563899636268616 0.6156901121139526 0.5748437643051147 0.4341388940811157
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	這表示你懂得看見別人的付出 願意用金錢去肯定別人的努力。	0.47327926754951477 0.4592216908931732 0.6161342263221741 0.561251163482666 0.4266698658466339
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	這表示你的家庭給予你足夠的支持	0.48530149459838867 0.4858458638191223 0.6174290180206299 0.5783323645591736 0.4207002520561218
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	這表示我很重視朋友和自己可以完成工作的信任	0.4914846122264862 0.46160200238227844 0.6094270944595337 0.5792829990386963 0.4306837320327759
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	這表示我很注重工作細節可以順利完成	0.4940895438194275 0.4662611186504364 0.6273584961891174 0.5923635959625244 0.42425742745399475
[0, 1, 0, 0, 0]	[0, 0, 1, 1, 0]	這表示我很值得信任並且看好自己的能力	0.4806980490684509 0.46662482619285583 0.6061362028121948 0.5608103275299072 0.43760091066360474
